RA,DEC,source,is_new,Name,status,flux_std
33.87905,-3.27081,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.8790-03.2708,ok,0.009468784555792809
33.89318,-4.28045,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.8932-04.2805,ok,0.1350388377904892
33.9467,-2.1304,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.9467-02.1304,ok,0.01726887747645378
33.9818,-5.4995,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.9818-05.4995,ok,0.06172900274395943
34.01693,-6.1368,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.0169-06.1368,ok,0.012315409258008003
34.0892,-4.4788,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.0892-04.4788,ok,0.021223822608590126
34.13898,-2.80749,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.1390-02.8075,ok,0.011515794321894646
34.1683,-3.51089,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.1683-03.5109,ok,0.007685055024921894
34.18899,-2.14311,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.1890-02.1431,ok,0.009157043881714344
34.2193,-4.2905,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.2193-04.2905,ok,0.09050334244966507
34.24396,-3.05025,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.2440-03.0503,ok,0.022096112370491028
34.2777,-4.3794,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.2777-04.3794,ok,0.02067173644900322
34.3288,-5.4891,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.3288-05.4891,ok,0.026819052174687386
34.3359,0.5536,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.3359+00.5536,ok,0.023903902620077133
34.34189,-4.11009,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.3419-04.1101,ok,0.004622318781912327
34.3477,-5.4069,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.3477-05.4069,ok,0.01437163446098566
34.39022,-2.85174,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.3902-02.8517,ok,0.008463824167847633
34.40492,-5.22482,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.4049-05.2248,ok,0.010740413330495358
34.4638,1.1475,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.4638+01.1475,ok,0.02814660407602787
34.47337,-2.40221,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.4734-02.4022,ok,0.02204633504152298
34.47888,-3.78103,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.4789-03.7810,ok,0.016495559364557266
34.5309,-5.26,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.5309-05.2600,ok,0.009709452278912067
34.5983,-5.6559,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.5983-05.6559,ok,0.01019961852580309
34.6216,-3.678,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.6216-03.6780,ok,0.007486608345061541
34.6273,-0.4292,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.6273-00.4292,ok,0.05628262460231781
34.6709,-2.7158,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.6709-02.7158,ok,0.012700056657195091
34.68986,-5.08482,Sonnenfeld2020_SuGOHI_VI,True,DESI-034.6899-05.0848,ok,0.025641784071922302
