name,ra,dec,catalog,survey_key,p_meta
s_234043_6467,58.44268218989208,-17.110912007812072,dr11,dr11,0.87743473
s_80200_6872,15.49186920062577,-49.29395006812568,dr11,dr11,0.87670356
s_235296_3732,25.64569020955313,-16.804919210545556,dr11,dr11,0.87670356
s_58263_3751,42.71791874109645,-55.40324792259129,dr11,dr11,0.87635094
s_353507_7693,26.484797723409294,4.04129301577334,dr11,dr11,0.875831
s_188493_9685,83.45557516458862,-25.615109278834368,dr11,dr11,0.87509745
s_98925_9757,16.746355380950252,-44.53378080840924,dr11,dr11,0.87509745
s_80046_1004,316.2704817314116,-49.57831506281846,dr11,dr11,0.8749262
s_139824_609,18.349206460158868,-35.30525800697416,dr11,dr11,0.87482196
s_334950_4759,65.70828374606283,0.7795804681826937,dr11,dr11,0.8744469
s_262449_2840,188.7860896366913,-11.979775852724414,dr11,dr11,0.8742251
s_61626_1035,65.17823590434007,-54.37701454964448,dr11,dr11,0.8712406
s_109525_6099,50.11683110342159,-41.98876375693487,dr11,dr11,0.87110853
s_171018_6728,216.4663078991998,-28.925306778171414,dr11,dr11,0.87073773
s_94861_9433,21.97164079601136,-45.54276220530482,dr11,dr11,0.8690802
s_304939_6952,119.79561991032992,-4.615559930256169,dr11,dr11,0.8665519
s_448277_429,217.13715579033808,20.812464052621067,dr11,dr11,0.86596686
s_41562_4180,42.24015918553729,-60.900970105655006,dr11,dr11,0.86542666
s_72024_4603,55.37838857837215,-51.51238928592954,dr11,dr11,0.86469686
s_345385_1514,154.31151234280114,2.488231151685253,dr11,dr11,0.86313343
s_91761_4679,350.36829391619926,-46.51375013328203,dr11,dr11,0.8620868
s_168964_2144,349.1902981858192,-29.39535376186178,dr11,dr11,0.8620868
s_209576_5226,65.57598322116075,-21.5460957923595,dr11,dr11,0.8617298
s_318043_1037,158.7893001298153,-2.3037192500412824,dr11,dr11,0.8614245
s_331753_3591,346.3402918810244,-0.0365852051400459,dr11,dr11,0.86123824
s_181762_9592,11.434716056365142,-26.62941348103229,dr11,dr11,0.8608387
s_114736_1046,343.5127306827532,-40.9303302399524,dr11,dr11,0.8603035
s_217653_9667,63.16155379767952,-19.90232652524877,dr11,dr11,0.8602175
s_351084_1943,139.76915912040403,3.610726780253736,dr11,dr11,0.85890365
s_98012_247,56.14624377449898,-44.79559873612024,dr11,dr11,0.85890365
s_181942_4122,61.60163762747881,-26.773319735183065,dr11,dr11,0.85890365
s_254764_528,21.54956232260472,-13.278428313561571,dr11,dr11,0.85890365
s_196041_2558,359.2962388775404,-24.245595447050096,dr11,dr11,0.8576831
s_406994_2174,231.36322833496047,13.258834851440522,dr11,dr11,0.85709316
s_137708_8345,89.95633978187688,-35.670133435884786,dr11,dr11,0.85676104
s_170155_2246,330.03919469799393,-29.12948021295591,dr11,dr11,0.8567574
s_179397_1114,68.26476523690886,-27.23982299619395,dr11,dr11,0.8566476
s_63993_10506,354.02979629582177,-53.87662184820719,dr11,dr11,0.8563048
s_67227_20310,263.8420866153116,-53.05935743461275,dr11,dr11,0.85613483
s_416616_6124,189.5380225010694,15.031176498398764,dr11,dr11,0.8548503
s_508531_2214,146.99365667215636,32.50021648805038,dr11,dr11,0.8544688
s_301694_7426,26.26788673053466,-4.9309675447982295,dr11,dr11,0.8541028
s_360639_3636,13.486755221242012,5.35899775248115,dr11,dr11,0.85177743
s_68459_7017,50.56842749902884,-52.57791038240775,dr11,dr11,0.8514438
s_458865_5248,183.4944702254697,22.771888293917307,dr11,dr11,0.851153
s_128091_3374,332.63550821634374,-37.92626359802329,dr11,dr11,0.85091954
s_232538_8716,25.275549906326727,-17.223219532648667,dr11,dr11,0.8491564
s_50415_2849,72.02209232289727,-58.12256445265845,dr11,dr11,0.848262
s_206743_10995,24.211966857737124,-22.007617835743865,dr11,dr11,0.8477204
s_107312_5223,23.845101861615813,-42.53980516963502,dr11,dr11,0.8475064
s_194944_4494,59.20445257843653,-24.14472085204786,dr11,dr11,0.84599406
s_209853_1103,139.80534312884723,-21.46042217709545,dr11,dr11,0.84583676
s_102952_10164,334.8016949083366,-43.80978581151804,dr11,dr11,0.84583676
s_90920_9419,45.95171924302469,-46.440728666768926,dr11,dr11,0.8458092
s_341950_6798,15.659705773376,1.9824477862302512,dr11,dr11,0.84572333
s_126656_24999,238.4091681532505,-38.26817792377984,dr11,dr11,0.8451526
s_214801_7929,23.92833633027094,-20.55989406866094,dr11,dr11,0.8449594
s_212207_5081,50.65971447622222,-20.95673434736605,dr11,dr11,0.8444437
s_194942_5734,58.698060051214185,-24.33749231991341,dr11,dr11,0.84386885
s_135143_9724,18.53496104506493,-36.220498666834885,dr11,dr11,0.8434344
s_217741_8211,86.52108305389773,-20.00705008799305,dr11,dr11,0.84283733
s_94959_7228,56.805380600736456,-45.58499423953458,dr11,dr11,0.8428286
