index,Ra,Dec,ref,klc_dup
524,14.987075805664062,0.4621363878250122,Talbot,1
525,14.989477157592772,-0.3314217031002044,Talbot,1
526,15.008333333333333,-13.193611111111114,Canameras et al. 2020,1
527,15.011747360229492,9.588263511657717,Talbot,1
528,15.037439,-39.61517,ODonnell22,1
529,15.04469,-33.68272,Petrillo et al. 2019,1
530,15.045370000000002,-33.94637,Petrillo et al. 2019,1
531,15.05764,-34.36723,Petrillo et al. 2019,1
532,15.05862,1.84803,Huang et al. 2020a,1
533,15.061890602111816,-1.29804790019989,Talbot,1
534,15.06408,-0.27179,Huang et al. 2020a,1
535,15.07213,0.00271,Huang et al. 2020a,1
11024,15.08039641,-21.3817744,Storfer 2023,2
537,15.089921,-0.730342,SuGOHI8,1
538,15.10929,-31.25675,Petrillo et al. 2019,1
539,15.118633270263672,-6.233535289764404,Talbot,1
540,15.13269,-31.7139,Petrillo et al. 2019,1
541,15.15,23.770277777777785,Canameras et al. 2020,1
542,15.1785,-18.87793,Huang et al. 2020a,1
543,15.1912,3.72211,Huang et al. 2020a,1
544,15.211616,-22.373678,Stein21,1
545,15.24027,-16.95419,Huang et al. 2020a,1
546,15.25703,-17.75613,Huang et al. 2020a,1
547,15.26676,-17.53436,Huang et al. 2020a,1
