,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
508,509,,DESI-016.4629-05.0324,DC,2.5,1,0.98,0.5998,,L18,,21.79,20.13,18.57,DECaLS
509,510,,DESI-016.9846-14.6625,DC,2.5,1,0.97,,0.610+/-0.034,L18,,21.28,19.99,18.89,DECaLS
510,511,,DESI-017.1638-08.3884,DC,2,0,0.91,0.5754,,L18,,22.3,20.28,19.03,DECaLS
511,512,,DESI-017.3346-07.3951,DC,2.5,1,0.72,0.5312,,L18,,23.29,21.02,18.95,DECaLS
512,513,,DESI-017.6727-14.7914,DC,2.5,1,1.0,,0.668+/-0.104,L18,,22.48,21.04,19.74,DECaLS
513,514,,DESI-017.7799+13.7789,DC,2.5,1,1.0,0.6633,,L18,,21.16,19.65,18.08,DECaLS
514,515,,DESI-017.8640+10.9845,REX,2,2,0.4,0.2782,,shielded,a,19.76,18.47,17.56,DECaLS
515,516,,DESI-017.8812+08.9282,DC,2.5,1,0.97,0.4062,,L18,,19.68,17.97,16.87,DECaLS
516,517,,DESI-018.0610-21.6113,REX,2,2,0.63,,0.577+/-0.031,shielded,,23.03,21.21,19.92,DECaLS
517,518,,DESI-018.2042-02.9176,DC,2.5,1,0.52,0.3623,,L18,,17.29,16.04,15.22,DECaLS
518,519,,DESI-018.5346-19.7225,DC,2.5,1,0.95,,0.373+/-0.048,L18,,20.78,19.21,18.25,DECaLS
519,520,,DESI-019.1019-00.1335,REX,2,0,0.23,0.1824,,shielded,,20.44,19.81,19.18,DECaLS
520,521,,DESI-019.3417-30.0427,REX,2.5,1,0.53,,0.328+/-0.051,L18,,19.74,18.56,17.78,DECaLS
521,522,,DESI-019.4619-29.9677,REX,2,2,0.92,,0.812+/-0.083,shielded,,21.73,20.81,19.47,DECaLS
522,523,,DESI-019.4701-11.0283,REX,2,0,0.78,,0.796+/-0.072,L18,,21.22,20.44,19.3,DECaLS
